rxn_id,kind,growth,fba_flux
ATPM(ko)+O2tex(ko),ko+ko,0.2763175710493988,16.801907336666126
ATPM(ko)+O2tpp(ko),ko+ko,0.2763175710493997,16.801907336665884
ATPM(ko)+ATPS4rpp(ko),ko+ko,0.436881738391968,16.39930743372962
ATPM(ko)+SUCDi(ko),ko+ko,0.9714382586242605,15.634744409155015
ATPM(ko)+PGL(ko),ko+ko,0.9882171933004004,15.605611560899371
ATPM(ko)+NTP1(down),ko+down,0.9954369223325875,15.593076124389201
ATPM,ko,0.9954369223325931,15.593076124388931
