gene,name,n_rxns,fba_flux,growth,composite
b2224,b2224,1,15.390760750256222,0.9823718127271849,0.9553725680906657
b2601,b2601,1,15.390760750256709,0.9823718127269752,0.9553725680906592
b0754,b0754,1,15.390760750256716,0.9823718127269717,0.9553725680906591
b3856,b3856,5,15.39076075025665,0.982371812726991,0.9553725680906585
b0078,b0078,2,15.390760750256646,0.9823718127269914,0.9553725680906584
b1704,b1704,1,15.39076075025672,0.9823718127269616,0.9553725680906577
b2417,b2417,6,15.39076075025669,0.9823718127269687,0.9553725680906573
b2874,b2874,1,15.390760750256659,0.98237181272698,0.9553725680906573
b1748,b1748,2,15.390760750256682,0.9823718127269697,0.955372568090657
b0118,b0118,3,15.390760750256682,0.9823718127269694,0.9553725680906568
b3671,b3671,2,15.39076075025669,0.9823718127269637,0.9553725680906565
b3115,b3115,2,15.39076075025669,0.9823718127269637,0.9553725680906565
b2414,b2414,1,15.390760750256677,0.9823718127269687,0.9553725680906565
b1095,b1095,9,15.390760750256616,0.982371812726988,0.9553725680906563
b3940,b3940,2,15.390760750256694,0.9823718127269607,0.9553725680906563
b1819,b1819,5,15.390760750256641,0.9823718127269749,0.9553725680906555
b2296,b2296,1,15.390760750256641,0.9823718127269749,0.9553725680906555
b3739,b3739,1,15.39076075025663,0.9823718127269762,0.9553725680906552
b0007,b0007,2,15.39076075025665,0.9823718127269675,0.955372568090655
b3670,b3670,2,15.390760750256637,0.9823718127269715,0.9553725680906549
