rxn_id,kind,composite,fba_flux,growth
GND + ACACT6r + HACD4,triple_ko,0.9539156935349984,15.404606989418872,0.9680853437566813
ECOAH1 + ACACT1r + HACD4,triple_ko,0.9538021070595482,15.390906799604192,0.9720365831108232
ACOAD3f + ACACT1r + HACD4,triple_ko,0.9538021070595393,15.390906799603995,0.9720365831108327
ACOAD5f + ACACT1r + HACD5,triple_ko,0.9538021070595283,15.39090679960381,0.9720365831108242
ACOAD5f + ACACT6r + CBMKr,triple_ko,0.9537913851874806,15.39090779671416,0.971966022296188
