rxn_id,kind,ensemble,fba_flux,growth,composite,delta_wt
ATPS4rpp,ko,1.0,16.38361197332735,0.4024773014907132,0.9187817334033801,16.38361197332735
O2tpp,ko,0.9988888888888889,15.950068242843557,0.2415015570971814,0.8715154643029022,15.950068242843557
O2tex,ko,0.9977777777777778,15.950068242843496,0.2415015570971751,0.8715154643028981,15.950068242843496
ATPM,ko,0.9966666666666667,15.593076124388931,0.9954369223325931,0.9679543241075703,15.593076124388931
SUCDi,ko,0.9955555555555555,15.435349494027893,0.9566911236138153,0.9537845943957568,15.435349494027893
G6PDH2r,ko,0.9933333333333333,15.402672065320518,0.9755115436722456,0.9549483611408041,15.402672065320518
GND,ko,0.9922222222222222,15.402672065320493,0.9755115436722496,0.9549483611408034,15.402672065320493
PGL,ko,0.9944444444444445,15.402672065320463,0.9755115436722448,0.954948361140801,15.402672065320463
RPI,ko,0.9911111111111112,15.401601637335258,0.33443824529629596,0.8570057901282521,15.401601637335258
NTP1,down,0.9957433440772729,15.390760750256518,0.9823718127269728,0.9553725680906489,15.390760750256518
